nombre;apellido;edad;ahorros
Carlos;Rodríguez;40;5000.0
Luis;Martínez;35;3100.8
Pedro;Torres;50;7000.9
Diego;Flores;32;3200.0
Gabriel;Molina;45;6200.5
Alejandro;Castro;38;4700.1
Daniel;Herrera;33;5300.7
Paula;Gutiérrez;31;2500.8
Javier;Ríos;41;4900.9
Fernando;Jiménez;37;3600.4
Santiago;Reyes;34;4200.0
Ricardo;Romero;39;5900.6
Emiliano;Navarro;36;3800.3
Francisco;Peña;44;7100.0
Rodrigo;Alonso;31;3900.5
Hernán;Maldonado;48;6800.1
Maximiliano;Aguirre;35;5800.6
Axel;Ledesma;32;4100.9
Tomás;Peralta;33;3500.5
Facundo;Acosta;40;5200.8
Ezequiel;Campos;34;4000.9
Celeste;Montenegro;31;2900.3
Mateo;Pacheco;37;3300.6
Benjamín;Espinoza;32;4400.9
